Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength,Rsq of Ref. spectrum,Max transmission of Ref. spec. (dB),Rsq of IV,I at -2V,I at -1V,I at 1V
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 07:44:48 2019,process LMZ,B2,magdzi83,0,0,1,Rsq. IV. Error,1310.0,0.9977363095853156,-6.344923496246338,0.9796204421913299,-6.520733e-11,-1.195505e-10,-1.27008e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 10:00:15 2019,process LMZ,B2,magdzi83,0,2,1,Rsq. IV. Error,1310.0,0.9987558039983829,-5.417311668395996,0.9834471905358269,-3.604553e-11,-1.202209e-10,-1.329992e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 09:26:27 2019,process LMZ,B2,magdzi83,2,-1,0,No Error,1310.0,0.9981062955123611,-5.90704345703125,0.9923258385928039,-3.814053e-11,-1.171204e-10,-1.316585e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 12:49:24 2019,process LMZ,B2,magdzi83,2,-3,0,No Error,1310.0,0.998217917797354,-6.889618396759033,0.9900540531136307,-3.784722e-11,-1.208074e-10,-1.336695e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 13:57:01 2019,process LMZ,B2,magdzi83,2,2,1,Rsq. IV. Error,1310.0,0.9985473705477325,-5.943233966827393,0.9856323704782124,-3.600362e-11,-1.203885e-10,-1.311139e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Fri May 31 13:23:14 2019,process LMZ,B2,magdzi83,3,0,1,Rsq. IV. Error,1310.0,0.9982735009443924,-6.482129096984863,0.9837311325960106,-6.751184e-11,-1.167433e-10,-1.296475e-10
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 20:58:38 2019,process LMZ,B2,magdzi83,-1,-1,0,No Error,1310.0,0.9986254614297573,-5.940758228302002,0.9999999989281685,4.226139e-07,2.139364e-07,-0.004848104
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 21:07:05 2019,process LMZ,B2,magdzi83,-1,-3,0,No Error,1310.0,0.9991123264817923,-5.567173957824707,0.9999999985317265,4.3558e-07,2.206549e-07,-0.004275683
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 22:31:41 2019,process LMZ,B2,magdzi83,-1,3,0,No Error,1310.0,0.9990581674031702,-6.340577602386475,0.9999999994799172,2.593993e-07,1.337233e-07,-0.004415526
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 21:49:20 2019,process LMZ,B2,magdzi83,-3,-3,0,No Error,1310.0,0.9987248517695172,-6.605620861053467,0.9999999990549695,3.725355e-07,1.893912e-07,-0.00458204
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 21:32:27 2019,process LMZ,B2,magdzi83,-3,0,0,No Error,1310.0,0.9994059320030642,-5.949030876159668,0.9999999991524053,3.40431e-07,1.735403e-07,-0.004446676
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 22:40:08 2019,process LMZ,B2,magdzi83,-3,2,0,No Error,1310.0,0.999214205921297,-6.72103214263916,0.9999999990367813,2.793728e-07,1.435766e-07,-0.003458655
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 21:40:54 2019,process LMZ,B2,magdzi83,-4,-1,0,No Error,1310.0,0.9985990766968177,-7.105931282043457,0.999999999002891,3.937154e-07,1.996838e-07,-0.004697751
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 21:57:49 2019,process LMZ,B2,magdzi83,0,-4,0,No Error,1310.0,0.9990385811475413,-6.750143051147461,0.9999999991368552,3.451848e-07,1.758982e-07,-0.00446655
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 20:50:10 2019,process LMZ,B2,magdzi83,0,0,0,No Error,1310.0,0.9975902740224598,-6.462587833404541,0.9999999983778057,4.73359e-07,2.389178e-07,-0.00438493
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 21:24:01 2019,process LMZ,B2,magdzi83,0,2,0,No Error,1310.0,0.9989364036227506,-5.8769636154174805,0.9999999988841926,3.352978e-07,1.709376e-07,-0.003800664
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 21:15:33 2019,process LMZ,B2,magdzi83,2,-1,0,No Error,1310.0,0.9979835243840094,-5.983880519866943,0.9999999991048123,3.705585e-07,1.885348e-07,-0.004698496
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 22:06:18 2019,process LMZ,B2,magdzi83,2,-3,0,No Error,1310.0,0.9981684770547997,-6.927505970001221,0.9999999994308522,3.042502e-07,1.556117e-07,-0.004886194
HY202103,D23,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,Mon Jun 03 22:23:11 2019,process LMZ,B2,magdzi83,2,2,0,No Error,1310.0,0.9984357092313774,-5.889247894287109,0.999999999551802,2.526187e-07,1.302277e-07,-0.004633154
